Name,Rank,Arating,Grating,votes
Vegas Showdown,461,7.19,6.888999999999999,5815
Formula D,462,7.04,6.888,14954
Star Trek: Fleet Captains,463,7.54,6.886,2990
1989: Dawn of Freedom,464,7.82,6.882999999999999,1845
Steampunk Rally,465,7.28,6.882999999999999,4706
Eminent Domain,466,7.09,6.879,8593
Dominion (Second Edition),467,8.12,6.877000000000001,1598
Blood Bowl (2016 edition),468,8.15,6.876,1564
Tokaido,469,7.04,6.874,15963
London (Second Edition),470,7.68,6.872999999999999,2107
Summoner Wars: Alliances Master Set,471,8.23,6.872999999999999,1359
Medici,472,7.14,6.872000000000001,6565
Shipyard,473,7.37,6.87,3403
Love Letter: Batman,474,7.3,6.87,4431
Space Hulk,475,7.45,6.869,3467
Zombicide Season 2: Prison Outbreak,476,7.43,6.869,3674
Washington's War,477,7.66,6.867999999999999,2182
The Downfall of Pompeii,478,7.13,6.867000000000001,6761
Las Vegas,479,7.11,6.8660000000000005,7452
Tajemnicze Domostwo,480,7.26,6.8660000000000005,4490
Exit: The Game – The Pharaoh's Tomb,481,7.33,6.865,3657
Middle-Earth Quest,482,7.37,6.865,3720
Spyfall,483,6.99,6.864,15155
Cuba Libre,484,7.75,6.864,1947
Among the Stars,485,7.14,6.864,6113
Arcadia Quest: Inferno,486,8.15,6.8629999999999995,1465
Yspahan,487,7.1,6.859,7435
Kingdom Builder,488,6.99,6.859,16626
Thunderstone Quest,489,8.11,6.859,1523
K2,490,7.1,6.858,7738
Elder Sign,491,7.01,6.857,19274
Tash-Kalar: Arena of Legends,492,7.21,6.855,5136
World Without End,493,7.28,6.854,4203
Marvel Dice Masters: Avengers vs. X-Men,494,7.21,6.853,5247
King of New York,495,7.03,6.852,11886
Vasco da Gama,496,7.28,6.85,4057
Empires: Age of Discovery,497,7.94,6.85,1561
BANG! The Dice Game,498,6.99,6.849,15721
Love Letter Premium,499,7.55,6.847,2642
Summoner Wars: Phoenix Elves vs Tundra Orcs,500,7.56,6.846,2421
Stuffed Fables,501,7.78,6.846,2008
Coloretto,502,6.97,6.846,15886
D-Day at Omaha Beach,503,8.24,6.845,1285
Coal Baron,504,7.3,6.843999999999999,3800
Warhammer: Invasion,505,7.24,6.843,5440
Warhammer Underworlds: Shadespire,506,8.0,6.84,1927
Citadels,507,7.39,6.84,3607
Vast: The Crystal Caverns,508,7.28,6.837999999999999,4369
