Arating,Grating,votes
7.96,6.363,730
6.54,6.363,9733
7.84,6.362,761
7.07,6.362,1669
6.92,6.361,1915
7.24,6.361,1381
6.75,6.361,2823
7.04,6.360,1597
7.54,6.360,932
6.89,6.359,1991
6.63,6.359,4144
6.87,6.358,2205
7.72,6.358,895
6.94,6.357,1845
7.27,6.355,1288
6.97,6.355,1748
6.75,6.353,3025
6.94,6.352,1797
7.04,6.350,1536
7.19,6.350,1276
6.64,6.350,3969
7.30,6.349,1116
8.05,6.349,687
7.31,6.348,1132
6.67,6.348,3493
6.59,6.347,4477
6.51,6.347,7307
6.61,6.347,4411
6.94,6.346,1802
6.77,6.346,2626
6.84,6.346,2215
6.65,6.346,3722
8.06,6.346,871
6.73,6.345,2833
7.23,6.344,1264
7.20,6.344,1242
7.48,6.344,909
7.15,6.344,1431
7.97,6.340,759
7.68,6.339,946
7.30,6.338,1093
6.94,6.337,1719
7.04,6.337,1585
6.99,6.337,1585
8.44,6.337,541
6.84,6.337,2113
7.13,6.336,1301
6.56,6.336,6164
6.77,6.335,2331
6.82,6.335,2380
6.97,6.334,2045
7.86,6.334,731
7.30,6.334,1128
7.20,6.334,1207
7.37,6.333,1085
6.82,6.333,2182
8.56,6.332,560
6.97,6.331,1749
7.61,6.331,983
6.87,6.331,2172
6.99,6.331,1638
7.07,6.331,1373
7.48,6.329,970
6.86,6.329,1995
8.24,6.329,599
7.05,6.328,1527
7.02,6.327,1494
6.98,6.327,1763
6.86,6.326,2412
7.16,6.326,1415
6.98,6.326,1551
6.64,6.326,4979
7.63,6.326,870
6.56,6.325,4645
6.85,6.325,2642
6.80,6.325,2267
6.98,6.325,1671
7.09,6.324,1368
6.73,6.324,3018
6.69,6.324,3062
6.69,6.324,2960
7.15,6.324,1251
6.84,6.323,2037
7.23,6.323,1165
7.59,6.322,935
7.60,6.321,876
6.95,6.320,1651
6.58,6.320,4831
6.71,6.319,2854
6.99,6.319,1550
6.90,6.319,1756
6.57,6.318,6138
6.75,6.318,2854
7.55,6.318,889
6.80,6.317,2401
7.13,6.316,1263
